subject	condition	choice_assortment	choice	percentage_choice
akela	changing_environment	risky	10	0.454545455
akela	changing_environment	safe	12	0.545454545
akela	stable_environment	risky	13	0.40625
akela	stable_environment	safe	19	0.59375
amahirwe	changing_environment	risky	17	0.53125
amahirwe	changing_environment	safe	15	0.46875
amahirwe	stable_environment	risky	3	0.09375
amahirwe	stable_environment	safe	29	0.90625
bahati	changing_environment	risky	16	0.5
bahati	changing_environment	safe	16	0.5
bahati	stable_environment	risky	6	0.230769231
bahati	stable_environment	safe	20	0.769230769
cheetah	changing_environment	risky	18	0.5625
cheetah	changing_environment	safe	14	0.4375
cheetah	stable_environment	risky	17	0.53125
cheetah	stable_environment	safe	15	0.46875
dufa	changing_environment	risky	9	0.346153846
dufa	changing_environment	safe	17	0.653846154
dufa	stable_environment	risky	25	0.78125
dufa	stable_environment	safe	7	0.21875
edvard	changing_environment	risky	17	0.53125
edvard	changing_environment	safe	15	0.46875
edvard	stable_environment	risky	31	0.96875
edvard	stable_environment	safe	1	0.03125
george	changing_environment	risky	16	0.5
george	changing_environment	safe	16	0.5
george	stable_environment	risky	32	1
jane	changing_environment	risky	11	0.5
jane	changing_environment	safe	11	0.5
jane	stable_environment	risky	3	0.09375
jane	stable_environment	safe	29	0.90625
joy	changing_environment	risky	18	0.5625
joy	changing_environment	safe	14	0.4375
joy	stable_environment	risky	14	0.538461538
joy	stable_environment	safe	12	0.461538462
julia	changing_environment	risky	17	0.53125
julia	changing_environment	safe	15	0.46875
julia	stable_environment	risky	26	0.8125
julia	stable_environment	safe	6	0.1875
kisa	changing_environment	risky	15	0.46875
kisa	changing_environment	safe	17	0.53125
kisa	stable_environment	risky	22	1
mwanzo	changing_environment	risky	17	0.53125
mwanzo	changing_environment	safe	15	0.46875
mwanzo	stable_environment	risky	32	1
roy	changing_environment	risky	16	0.5
roy	changing_environment	safe	16	0.5
roy	stable_environment	risky	29	0.90625
roy	stable_environment	safe	3	0.09375
zee	changing_environment	risky	17	0.53125
zee	changing_environment	safe	15	0.46875
zee	stable_environment	risky	32	1
