	subject	condition	exploration_strategy	n	N_total	Proportion
1	akela	changing_environment	comprehensive_exploration_each_prospect	152	176	0.863636364
2	akela	changing_environment	piecewise_exploration	24	176	0.136363636
3	akela	changing_environment	exploration_one_prospect	0	176	0
4	akela	changing_environment	no_exploration	0	176	0
5	akela	stable_environment	comprehensive_exploration_each_prospect	152	256	0.59375
6	akela	stable_environment	exploration_one_prospect	80	256	0.3125
7	akela	stable_environment	no_exploration	24	256	0.09375
8	akela	stable_environment	piecewise_exploration	0	256	0
9	amahirwe	changing_environment	comprehensive_exploration_each_prospect	32	256	0.125
10	amahirwe	changing_environment	exploration_one_prospect	224	256	0.875
11	amahirwe	changing_environment	no_exploration	0	256	0
12	amahirwe	changing_environment	piecewise_exploration	0	256	0
13	amahirwe	stable_environment	exploration_one_prospect	232	256	0.90625
14	amahirwe	stable_environment	no_exploration	24	256	0.09375
15	amahirwe	stable_environment	piecewise_exploration	0	256	0
16	amahirwe	stable_environment	comprehensive_exploration_each_prospect	0	256	0
17	bahati	changing_environment	comprehensive_exploration_each_prospect	64	256	0.25
18	bahati	changing_environment	exploration_one_prospect	184	256	0.71875
19	bahati	changing_environment	no_exploration	8	256	0.03125
20	bahati	changing_environment	piecewise_exploration	0	256	0
21	bahati	stable_environment	comprehensive_exploration_each_prospect	16	208	0.076923077
22	bahati	stable_environment	exploration_one_prospect	168	208	0.807692308
23	bahati	stable_environment	no_exploration	24	208	0.115384615
24	bahati	stable_environment	piecewise_exploration	0	208	0
25	cheetah	changing_environment	comprehensive_exploration_each_prospect	72	256	0.28125
26	cheetah	changing_environment	exploration_one_prospect	176	256	0.6875
27	cheetah	changing_environment	piecewise_exploration	8	256	0.03125
28	cheetah	changing_environment	no_exploration	0	256	0
29	cheetah	stable_environment	comprehensive_exploration_each_prospect	176	256	0.6875
30	cheetah	stable_environment	exploration_one_prospect	80	256	0.3125
31	cheetah	stable_environment	piecewise_exploration	0	256	0
32	cheetah	stable_environment	no_exploration	0	256	0
33	dufa	changing_environment	comprehensive_exploration_each_prospect	136	208	0.653846154
34	dufa	changing_environment	exploration_one_prospect	56	208	0.269230769
35	dufa	changing_environment	piecewise_exploration	16	208	0.076923077
36	dufa	changing_environment	no_exploration	0	208	0
37	dufa	stable_environment	comprehensive_exploration_each_prospect	136	256	0.53125
38	dufa	stable_environment	exploration_one_prospect	112	256	0.4375
39	dufa	stable_environment	piecewise_exploration	8	256	0.03125
40	dufa	stable_environment	no_exploration	0	256	0
41	edvard	changing_environment	comprehensive_exploration_each_prospect	104	256	0.40625
42	edvard	changing_environment	exploration_one_prospect	72	256	0.28125
43	edvard	changing_environment	no_exploration	72	256	0.28125
44	edvard	changing_environment	piecewise_exploration	8	256	0.03125
45	edvard	stable_environment	comprehensive_exploration_each_prospect	8	256	0.03125
