SUBJECT_NO	SUBJECT	AGE	EST. DOB	YEAR.TEST	SEX	SANCTUARY	GROUP	exploration_effort_sum_Study2	exploration_effort_mean_Study2	experiment_ambiguity_choice	experiment_ambiguity	experiment_risk_choice	experiment_risk	general_risk	food_risk	snake_risk	escape_risk	hierarchy_risk	strangers_risk	risk_total	ranking_risk	short_term_memory_0s	short_term_memory_15s	short_term_memory_30s	short_term_memory_sumscore
15	Akela	32	1988	2020	Female	Kenya	young_chimps	331	0.7662037	11	0.458333333	12	0.5	2.7	3.2	2.2	1.4	2.3	2.7	2.416666667	10	1	0.833333333	0.583333333	0.8055556
5	Amahirwe	22	1998	2020	Male	Kenya	old_chimps	189	0.3691406	9	0.375	10	0.416666667	2.9	3.5	2.1	2.3	3.1	2.4	2.716666667	16	1	0.916666667	0.916666667	0.9444444
11	Bahati	27	1993	2020	Female	Kenya	young_chimps	163	0.3512931	8	0.333333333	12	0.5	2.5	2.9	1.7	2.777777778	1.7	2.7	2.373333333	8	1	1	0.916666667	0.9722222
7	Cheetah	33	1987	2020	Female	Kenya	old_chimps	348	0.6904762	10	0.416666667	11	0.458333333	2.3	2.7	1.6	1.1	2	2.7	2.066666667	10	0.916666667	0.916666667	0.916666667	0.9166667
13	Dufatanya	29	1991	2020	Female	Kenya	young_chimps	273	0.5883621	13	0.541666667	10	0.416666667	2.4	2.9	1.9	2.4	2.4	2.8	2.466666667	9	1	0.833333333	0.583333333	0.8055556
4	Edvard	20	2000	2020	Male	Kenya	old_chimps	110	0.2148438	NA	NA	NA	NA	3	2.888888889	1.8	3.2	3	2.9	2.8	15	NA	NA	NA	NA
1	George	17	2003	2020	Male	Kenya	old_chimps	163	0.3189824	7	0.291666667	12	0.5	3.5	3.5	2.2	2.3	3.9	3	3.066666667	17	1	0.5	0.583333333	0.6944444
10	Jane	16	2004	2020	Female	Kenya	young_chimps	296	0.6851852	5	0.208333333	11	0.458333333	2.2	2.2	1.666666667	1.2	1.7	1.7	1.78	6	0.75	0.833333333	0.583333333	0.7222222
9	Joy	16	2004	2020	Female	Kenya	young_chimps	290	0.6277056	5	0.208333333	12	0.5	2.6	3.5	1.777777778	1.7	3.1	3	2.63	9	0.916666667	0.916666667	1	0.9444444
2	Julia	20	2000	2020	Female	Kenya	old_chimps	173	0.3378906	5	0.208333333	14	0.583333333	1.7	2.2	1.6	0.7	1.2	1.6	1.5	4	1	0.416666667	0.75	0.7222222
12	Kisa	27	1993	2020	Male	Kenya	young_chimps	145	0.3356481	3	0.125	13	0.541666667	3.4	3.2	2.2	2.5	2.7	2.5	2.75	14	1	0.75	1	0.9166667
6	Mwanzo	24	1996	2020	Female	Kenya	old_chimps	228	0.4453125	13	0.541666667	11	0.458333333	2.9	3.5	1.9	2	2.9	1.9	2.516666667	12	NA	NA	NA	NA
8	Roy 	13	2007	2020	Male	Kenya	young_chimps	293	0.5722656	6	0.25	12	0.5	3.3	3	2.4	1.4	3.9	2.3	2.716666667	13	1	0.916666667	0.583333333	0.8333333
3	Zee	20	2000	2020	Male	Kenya	old_chimps	440	0.859375	10	0.416666667	13	0.541666667	2	2.8	1.7	1.9	1.8	1.9	2.016666667	9	1	0.75	0.666666667	0.8055556
