all_trials	field_site	subject_sex	subject_age	date	subject	trial_subject	session	condition	order_condition	first_food_location	food_uncert_option	side_choice	success	first_search	second_search	searched_one	searched_both
1	kenya	female	16	21.04.19	mary	1	1	control	control_first	NA	NA	right	yes	right	left	yes	yes
2	kenya	female	16	21.04.19	mary	2	1	control	control_first	NA	NA	right	yes	left	NA	yes	no
3	kenya	female	16	21.04.19	mary	3	1	control	control_first	NA	NA	left	yes	right	NA	yes	no
4	kenya	female	16	21.04.19	mary	4	1	control	control_first	NA	NA	left	yes	NA	NA	no	no
5	kenya	female	16	21.04.19	mary	5	1	control	control_first	NA	NA	left	yes	NA	NA	no	no
6	kenya	female	16	21.04.19	mary	6	1	control	control_first	NA	NA	right	yes	NA	NA	no	no
7	kenya	female	16	22.04.19	mary	7	2	control	control_first	NA	NA	right	yes	NA	NA	no	no
8	kenya	female	16	22.04.19	mary	8	2	control	control_first	NA	NA	right	yes	NA	NA	no	no
9	kenya	female	16	22.04.19	mary	9	2	control	control_first	NA	NA	right	yes	NA	NA	no	no
10	kenya	female	16	22.04.19	mary	10	2	control	control_first	NA	NA	right	yes	NA	NA	no	no
11	kenya	female	16	22.04.19	mary	11	2	control	control_first	NA	NA	right	yes	NA	NA	no	no
12	kenya	female	16	22.04.19	mary	12	2	control	control_first	NA	NA	right	yes	right	NA	yes	no
13	kenya	female	16	23.04.19	mary	13	3	control	control_first	NA	NA	left	yes	NA	NA	no	no
14	kenya	female	16	23.04.19	mary	14	3	control	control_first	NA	NA	left	yes	NA	NA	no	no
15	kenya	female	16	23.04.19	mary	15	3	control	control_first	NA	NA	left	yes	NA	NA	no	no
16	kenya	female	16	23.04.19	mary	16	3	control	control_first	NA	NA	right	yes	NA	NA	no	no
17	kenya	female	16	23.04.19	mary	17	3	control	control_first	NA	NA	left	yes	NA	NA	no	no
18	kenya	female	16	23.04.19	mary	18	3	control	control_first	NA	NA	right	yes	NA	NA	no	no
19	kenya	female	16	24.04.19	mary	19	4	control	control_first	NA	NA	right	yes	right	left	yes	yes
20	kenya	female	16	24.04.19	mary	20	4	control	control_first	NA	NA	right	yes	left	NA	yes	no
21	kenya	female	16	24.04.19	mary	21	4	control	control_first	NA	NA	right	yes	NA	NA	no	no
22	kenya	female	16	24.04.19	mary	22	4	control	control_first	NA	NA	right	yes	NA	NA	no	no
23	kenya	female	16	24.04.19	mary	23	4	control	control_first	NA	NA	right	yes	NA	NA	no	no
24	kenya	female	16	24.04.19	mary	24	4	control	control_first	NA	NA	right	yes	NA	NA	no	no
25	kenya	female	16	25.04.19	mary	1	1	uncertainty	control_first	left	left	right	no	right	NA	yes	no
26	kenya	female	16	25.04.19	mary	2	1	uncertainty	control_first	right	right	right	yes	right	NA	yes	no
27	kenya	female	16	25.04.19	mary	3	1	uncertainty	control_first	left	left	right	no	right	NA	yes	no
28	kenya	female	16	25.04.19	mary	4	1	uncertainty	control_first	right	left	right	no	NA	NA	no	no
29	kenya	female	16	25.04.19	mary	5	1	uncertainty	control_first	left	right	right	yes	right	NA	yes	no
30	kenya	female	16	25.04.19	mary	6	1	uncertainty	control_first	right	right	right	yes	right	NA	yes	no
31	kenya	female	16	26.04.19	mary	7	2	uncertainty	control_first	right	left	right	no	right	NA	yes	no
32	kenya	female	16	26.04.19	mary	8	2	uncertainty	control_first	left	right	right	yes	right	NA	yes	no
33	kenya	female	16	26.04.19	mary	9	2	uncertainty	control_first	right	left	left	yes	right	NA	yes	no
34	kenya	female	16	26.04.19	mary	10	2	uncertainty	control_first	left	right	right	yes	right	NA	yes	no
35	kenya	female	16	26.04.19	mary	11	2	uncertainty	control_first	right	right	right	yes	right	NA	yes	no
36	kenya	female	16	26.04.19	mary	12	2	uncertainty	control_first	left	left	right	no	NA	NA	no	no
37	kenya	female	16	27.04.19	mary	13	3	uncertainty	control_first	left	right	right	yes	right	NA	yes	no
38	kenya	female	16	27.04.19	mary	14	3	uncertainty	control_first	right	left	right	no	NA	NA	no	no
39	kenya	female	16	27.04.19	mary	15	3	uncertainty	control_first	left	right	right	yes	right	NA	yes	no
40	kenya	female	16	27.04.19	mary	16	3	uncertainty	control_first	right	right	right	yes	NA	NA	no	no
41	kenya	female	16	27.04.19	mary	17	3	uncertainty	control_first	left	left	left	yes	NA	NA	no	no
42	kenya	female	16	27.04.19	mary	18	3	uncertainty	control_first	right	left	right	no	NA	NA	no	no
43	kenya	female	16	28.04.19	mary	19	4	uncertainty	control_first	right	right	right	yes	right	NA	yes	no
44	kenya	female	16	28.04.19	mary	20	4	uncertainty	control_first	left	left	left	yes	right	NA	yes	no
45	kenya	female	16	28.04.19	mary	21	4	uncertainty	control_first	right	right	right	yes	NA	NA	no	no
46	kenya	female	16	28.04.19	mary	22	4	uncertainty	control_first	left	left	left	yes	left	NA	yes	no
47	kenya	female	16	28.04.19	mary	23	4	uncertainty	control_first	right	left	right	no	NA	NA	no	no
48	kenya	female	16	28.04.19	mary	24	4	uncertainty	control_first	left	right	right	yes	NA	NA	no	no
1	kenya	male	16	20.04.19	george	1	1	uncertainty	test_first	right	right	right	yes	right	left	yes	yes
2	kenya	male	16	20.04.19	george	2	1	uncertainty	test_first	left	left	left	yes	right	left	yes	yes
3	kenya	male	16	20.04.19	george	3	1	uncertainty	test_first	left	right	left	no	NA	NA	no	no
4	kenya	male	16	24.04.19	george	4	1	uncertainty	test_first	right	left	left	yes	right	left	yes	yes
5	kenya	male	16	24.04.19	george	5	1	uncertainty	test_first	left	left	left	yes	NA	NA	no	no
6	kenya	male	16	24.04.19	george	6	1	uncertainty	test_first	right	right	right	yes	left	NA	yes	no
7	kenya	male	16	21.04.19	george	7	2	uncertainty	test_first	right	left	left	yes	right	left	yes	yes
